speaker_name,title,posted_date,duration,Link,about_speaker,about_talk,views,tags
LaToya Ruby Frazier,"A creative solution for the water crisis in Flint, Michigan",Nov 2019,11:49,https://www.ted.com/talks/latoya_ruby_frazier_a_creative_solution_for_the_water_crisis_in_flint_michigan?language=en,"LaToya Ruby Frazier focuses her camera lens on working class families, exploring themes of family, inequality, health care and environmental racism.","Artist LaToya Ruby Frazier spent five months living in Flint, Michigan, documenting the lives of those affected by the city's water crisis for her photo essay ""Flint is Family."" As the crisis dragged on, she realized it was going to take more than a series of photos to bring relief. In this inspiring, surprising talk, she shares the creative lengths she went to in order to bring free, clean water to the people of Flint.","1,776,136","photography,social change,water"
Emma Belcher,3 questions we should ask about nuclear weapons,Nov 2019,13:02,https://www.ted.com/talks/emma_belcher_3_questions_we_should_ask_about_nuclear_weapons?language=en,Emma Belcher develops and implements strategy for reducing the threat posed by nuclear weapons.,"There are more than 10,000 nuclear weapons in existence today, each one capable of causing immense destruction. Why don't we talk about this threat as much as some other major issues? In this practical talk, nuclear security expert Emma Belcher shares three questions you can ask your elected officials to gain a better understanding of nuclear weapons and the measures we need to stay safe.","1,623,729","nuclear weapons,policy,Debate"
Dan Reinstein,How does laser eye surgery work?,Nov 2019,5:16,https://www.ted.com/talks/dan_reinstein_how_does_laser_eye_surgery_work?language=en,,"In 1948, Spanish ophthalmologist Jose Ignacio Barraquer Moner was fed up with glasses. He wanted a solution for blurry vision that fixed the eye itself, without relying on external aids. The surgery he eventually devised was called ""keratomileusis,"" and his technique focused on reshaping the cornea— what we now know as LASIK. So how does laser eye surgery actually work? Dan Reinstein explains. [Directed by Hype CG, narrated by Addison Anderson].","1,367,905","TED-Ed,education,science"
David Asch,Why it's so hard to make healthy decisions,Nov 2019,16:53,https://www.ted.com/talks/david_asch_why_it_s_so_hard_to_make_healthy_decisions?language=en,David Asch advances individual and population health by improving the way physicians and patients make decisions in health care and in everyday life.,"Why do we make poor decisions that we know are bad for our health? In this frank, funny talk, behavioral economist and health policy expert David Asch explains why our behavior is often irrational -- in highly predictable ways -- and shows how we can harness this irrationality to make better decisions and improve our health care system overall.","2,649,790","behavioral economics,health care,psychology"
Arunabha Ghosh,5 steps for clean air in India,Nov 2019,9:05,https://www.ted.com/talks/arunabha_ghosh_5_steps_for_clean_air_in_india?language=en,"Arunabha Ghosh is a public policy professional, adviser, author, columnist and institution builder.","India's big cities have some of the worst air quality in the world. How can we fix this public health crisis? In an actionable talk, social entrepreneur Arunabha Ghosh lays out a five-step plan to put India on the path to cleaner, safer air -- and shows how every citizen can play an active role in getting there.","215,374","pollution,india,social change"
Alex Rosenthal,"The Furnace Bots | Think Like A Coder, Ep 3",Nov 2019,5:55,https://www.ted.com/talks/alex_rosenthal_the_furnace_bots_think_like_a_coder_ep_3?language=en,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.,"This is episode 3 of our animated series ""Think Like A Coder."" This 10-episode narrative follows a girl, Ethic, and her robot companion, Hedge, as they attempt to save the world. The two embark on a quest to collect three artifacts and must solve their way through a series of programming puzzles. [Directed by Kozmonot Animation Studio, narrated by Addison Anderson].","305,241","animation,programming,TED-Ed"
Guadalupe Nogués,Como hablar con otros que piensan distinto,Nov 2019,14:06,https://www.ted.com/talks/guadalupe_nogues_como_hablar_con_otros_que_piensan_distinto?language=en,"¿A qué se dedica una bióloga? A investigar y a enseñar, claro. Pero también a comunicar la ciencia y a pensar en la educación, la posverdad y las políticas públicas desde la mirada científica. Ah, y a escribir el libro ""Pensar con otros. Una guía de supervivencia en tiempos de posverdad” (2018). Todo eso si es Guadalupe, claro.","¿Cómo hablas con alguien cuando su ideología le previene entender los hechos? Puedes celebrar el pluralismo de las ideas y escuchar con empatía, dice la docente y bióloga, la Dra. Guadalupe Nogués.","766,568","Humanities,communication,collaboration"
Dan Ariely,How to change your behavior for the better,Nov 2019,15:13,https://www.ted.com/talks/dan_ariely_how_to_change_your_behavior_for_the_better?language=en,"The dismal science of economics is not as firmly grounded in actual behavior as was once supposed. In ""Predictably Irrational,"" Dan Ariely told us why.","What's the best way to get people to change their behavior? In this funny, information-packed talk, psychologist Dan Ariely explores why we make bad decisions even when we know we shouldn't -- and discusses a couple tricks that could get us to do the right thing (even if it's for the wrong reason).","3,094,316","decision-making,behavioral economics,cognitive science"
Gaby Barrios,Why gender-based marketing is bad for business,Nov 2019,10:49,https://www.ted.com/talks/gaby_barrios_why_gender_based_marketing_is_bad_for_business?language=en,BCG's Gaby Barrios has dedicated her career to understanding consumers across the world in a wide range of industries.,"Companies often target consumers based on gender, but this kind of advertising shortcut doesn't just perpetuate outdated stereotypes -- it's also bad for business, says marketing expert Gaby Barrios. In this clear, actionable talk, she explains why gender-based marketing doesn't drive business nearly as much as you might think -- and shows how companies can find better ways to reach customers and grow their brands.","2,038,110","business,advertising,marketing"
Alex Gendler,The myth of Loki and the master builder,Nov 2019,4:25,https://www.ted.com/talks/alex_gendler_the_myth_of_loki_and_the_master_builder?language=en,,"Asgard, a realm of wonders, was where the Norse Gods made their home. There Odin's great hall of Valhalla towered above the mountains and Bifrost, the rainbow bridge, anchored itself. Though their domain was magnificent, it stood undefended from the giants and trolls who sought to destroy them. But a stranger appeared and made the gods an offer. Alex Gendler details the myth of the master builder. [Directed by Hype CG, narrated by Addison Anderson].","965,470","TED-Ed,education,animation"
Erika Pinheiro,What's really happening at the US-Mexico border — and how we can do better,Nov 2019,14:03,https://www.ted.com/talks/erika_pinheiro_what_s_really_happening_at_the_us_mexico_border_and_how_we_can_do_better?language=en,Erika Pinheiro fights to protect migrant rights and reunify families. She leads non-profits whose projects have helped thousands of immigrants on both sides of the US-Mexico border.,"At the US-Mexico border, policies of prolonged detention and family separation have made seeking asylum in the United States difficult and dangerous. In this raw and heartfelt talk, immigration attorney Erika Pinheiro offers a glimpse into her daily work on both sides of the border and shares some of the stories behind the statistics -- including her own story of being detained and separated from her son. It's a clear-eyed call to remember the humanity that's impacted by policy -- and a warning: ""History shows us that the first population to be vilified and stripped of their rights is rarely the last,"" she says.","1,804,668","immigration,policy,refugees"
Sydney Jensen,How can we support the emotional well-being of teachers?,Nov 2019,11:31,https://www.ted.com/talks/sydney_jensen_how_can_we_support_the_emotional_well_being_of_teachers?language=en,Sydney Jensen wants to shine a light on the emotional and mental impact of teaching students who have experienced trauma.,"Teachers emotionally support our kids -- but who's supporting our teachers? In this eye-opening talk, educator Sydney Jensen explores how teachers are at risk of ""secondary trauma"" -- the idea that they absorb the emotional weight of their students' experiences -- and shows how schools can get creative in supporting everyone's mental health and wellness.","2,196,142","education,teaching,student"
Cady Coleman,What it's like to live on the International Space Station,Nov 2019,6:16,https://www.ted.com/talks/cady_coleman_what_it_s_like_to_live_on_the_international_space_station?language=en,"Cady Coleman draws from her time at NASA and her missions on the International Space Station to share insights about team building, leadership and innovation.","In this quick, fun talk, astronaut Cady Coleman welcomes us aboard the International Space Station, where she spent nearly six months doing experiments that expanded the frontiers of science. Hear what it's like to fly to work, sleep without gravity and live life hurtling at 17,500 miles per hour around the Earth. ""The space station is the place where mission and magic come together,"" Coleman says.","374,741","exploration,NASA,science"
Adar Cohen,"3 ways to lead tough, unavoidable conversations",Nov 2019,15:45,https://www.ted.com/talks/adar_cohen_3_ways_to_lead_tough_unavoidable_conversations?language=en,"With Adar’s help, gang leaders and police officers in Chicago are preventing gun violence. Protestants and Catholics in Northern Ireland are planning for a shared future. Across the private and public sectors Adar has helped people have big conversations that lead to powerful results. A Harry S. Truman Scholar, a Thomas J. Watson Fellow, and a George Mitchell Scholar, Adar holds a PhD in conflict resolution from the University of Dublin. He has lectured at Harvard University, the University of Chicago, and at the invitation of the King of Bhutan, lectured and consulted at Sherubste University, the Himalayan Kingdom’s first institution for higher education. He is a co-founder of Civic Leadership Foundation, which has achieved life-changing outcomes for over 20,000 at-risk youth.","Many of life's transformative conversations are also the most difficult ones -- those we tend to avoid. In this practical talk, conflict resolution expert Adar Cohen urges us to lean into these exchanges and offers three simple ways to steer them more effectively. ","95,060","life,communication,society"
Craig Costello,"In the war for information, will quantum computers defeat cryptographers?",Nov 2019,16:31,https://www.ted.com/talks/craig_costello_in_the_war_for_information_will_quantum_computers_defeat_cryptographers?language=en,"Craig Costello uses mathematics to secure the digital world, both against the threats that exist today and those that may exist in the future.","In this glimpse into our technological future, cryptographer Craig Costello discusses the world-altering potential of quantum computers, which could shatter the limits set by today's machines -- and give code breakers a master key to the digital world. See how Costello and his fellow cryptographers are racing to reinvent encryption and secure the internet.","1,866,065","quantum physics,science,technology"
Peter Beck,Small rockets are the next space revolution,Nov 2019,11:32,https://www.ted.com/talks/peter_beck_small_rockets_are_the_next_space_revolution?language=en,"As founder and CEO of Rocket Lab, Peter Beck oversees the manufacturing and launch of rockets designed to put small satellites into orbit.","We're in the dawn of a new space revolution, says engineer Peter Beck: the revolution of the small. In a talk packed with insights into the state of the space industry, Beck shares his work building rockets capable of delivering small payloads to space rapidly and reliably -- helping us search for extraterrestrial life, learn more about the solar system and create a global internet network.","333,467","3D printing,space,science"
Céline Valéry,The dangers of mixing drugs,Nov 2019,4:45,https://www.ted.com/talks/celine_valery_the_dangers_of_mixing_drugs?language=en,,"Which of the following is risky behavior: a person taking cholesterol medicine with grapefruit juice? Or a person taking Acetaminophen before going out for drinks? Or a person on blood thinners who takes an aspirin? Turns out, all of them are risky. Each has inadvertently created a drug interaction that could lead to serious complications. Céline Valéry describes the dangers of mixing substances. [Directed by Cabong Studios, narrated by Susan Zimmerman, music by Matheus Wittmann].","872,644","education,health,animation"
Mani Vajipey,How India's local recyclers could solve plastic pollution,Nov 2019,9:36,https://www.ted.com/talks/mani_vajipey_how_india_s_local_recyclers_could_solve_plastic_pollution?language=en,Mani Vajipey has dedicated his life and career to the overhaul of waste management in India.,"India has one of the world's highest rates of plastic recycling, thanks largely to an extensive network of informal recyclers known as ""kabadiwalas."" Entrepreneur Mani Vajipey discusses his work to organize their massive efforts into a collection system that could put India on the path to ending plastic pollution -- and show the rest of the world how to do it, too.
","226,191","pollution,health,social change"
Dorsa Amir,Why do humans have a third eyelid?,Nov 2019,4:15,https://www.ted.com/talks/dorsa_amir_why_do_humans_have_a_third_eyelid?language=en,Dorsa Amir is an evolutionary anthropologist and postdoctoral research fellow in the Department of Psychology at Boston College.,"You know that little pink thing nestled in the corner of your eye? It's actually the remnant of a third eyelid. In humans, it's vestigial, meaning it no longer serves its original purpose. There are several other vestigial structures in the human body, quietly riding along from one of our ancestor species to the next. But why have they stuck around for so long? Dorsa Amir investigates. [Directed by Avi Ofer, narrated by Addison Anderson].","986,450","animals,TED-Ed,animation"
Rabiaa El Garani,Hope and justice for women who've survived ISIS,Nov 2019,15:01,https://www.ted.com/talks/rabiaa_el_garani_hope_and_justice_for_women_who_ve_survived_isis?language=en,"As an experienced police investigator, Rabiaa El Garani has been deployed to many regions around the globe to investigate sexual and gender-based violence.","Human rights protector Rabiaa El Garani shares the challenging, heartbreaking story of sexual violence committed against Yazidi women and girls in Iraq by ISIS -- and her work seeking justice for the survivors. ""These victims have been through unimaginable pain. But with a little help, they show how resilient they are,"" she says. ""It is an honor to bear witness; it is a privilege to seek justice."" (This talk contains mature content.)","1,487,132","Middle East,sexual violence,crime"
Kaitlyn Sadtler and Heather J. Faust,Why haven't we cured arthritis?,Nov 2019,4:10,https://www.ted.com/talks/kaitlyn_sadtler_and_heather_j_faust_why_haven_t_we_cured_arthritis?language=en,,"The bad backs, elbow pain, and creaky knees so common in older people often aren't just ""old age."" In fact, the source of this stiffness plagues many young people as well. The culprit is arthritis: a condition that affects over 90 million people in the U.S. alone. What makes arthritis so pervasive, and why haven't we found a cure for it? Kaitlyn Sadtler and Heather J. Faust investigate. [Directed by CUB Animation, narrated by Bethany Cutmore-Scott, music by James Wood].","365,461","TED-Ed,animation,science"
Amma Y. Ghartey-Tagoe Kootin,A historical musical that examines black identity in the 1901 World's Fair,Nov 2019,10:40,https://www.ted.com/talks/amma_y_ghartey_tagoe_kootin_a_historical_musical_that_examines_black_identity_in_the_1901_world_s_fair?language=en,Scholar and artist Amma Y. Ghartey-Tagoe Kootin transforms historical material about black identity into theatrical performances. ,"In this lively talk and performance, artist and TED Fellow Amma Y. Ghartey-Tagoe Kootin offers a sneak peek of her forthcoming musical ""At Buffalo."" Drawing on archival material from the 1901 Pan-American Exhibition, a world's fair held in Buffalo, New York, the show examines conflicting representations of black identity exhibited at the fair -- highlighting unsettlingly familiar parallels between American society at the turn of the century and today, and asking: Are we all still part of the show?","1,785,261","TED Fellows,music,history"
Ma Yansong,"Urban architecture inspired by mountains, clouds and volcanoes",Nov 2019,12:51,https://www.ted.com/talks/ma_yansong_urban_architecture_inspired_by_mountains_clouds_and_volcanoes?language=en,"Believing that architects should envision and build the future, Ma Yansong develops advanced designs that interpret an Eastern affinity for nature within a contemporary fashion.","Taking inspiration from nature, architect Ma Yansong designs breathtaking buildings that break free from the boxy symmetry of so many modern cities. His exuberant and graceful work -- from a pair of curvy skyscrapers that ""dance"" with each other to an opera house that looks like a snow-capped mountain -- shows us the beauty of architecture that defies norms.","328,574","nature,cities,architecture"
Eli Pariser,What obligation do social media platforms have to the greater good?,Nov 2019,17:06,https://www.ted.com/talks/eli_pariser_what_obligation_do_social_media_platforms_have_to_the_greater_good?language=en,"As a cofounder of Upworthy, and the author of ""The Filter Bubble,"" Eli Pariser leverages technology to help build better and more democratic societies.","Social media has become our new home. Can we build it better? Taking design cues from urban planners and social scientists, technologist Eli Pariser shows how the problems we're encountering on digital platforms aren't all that new -- and shares how, by following the model of thriving towns and cities, we can create trustworthy online communities.","1,810,684","social media,media,urban planning"
Paul A. Kramer,Our immigration conversation is broken — here's how to have a better one,Nov 2019,16:31,https://www.ted.com/talks/paul_a_kramer_our_immigration_conversation_is_broken_here_s_how_to_have_a_better_one?language=en,Paul A. Kramer's work focuses on the changing relationships between the United States and  the wider world.,"How did the US immigration debate get to be so divisive? In this informative talk, historian and writer Paul A. Kramer shows how an ""insider vs. outsider"" framing has come to dominate the way people in the US talk about immigration -- and suggests a set of new questions that could reshape the conversation around whose life, rights and thriving matters.","1,749,040","community,human rights,history"
Laura Rovner,What happens to people in solitary confinement,Nov 2019,12:07,https://www.ted.com/talks/laura_rovner_what_happens_to_people_in_solitary_confinement?language=en,"Laura Rovner lectures and writes about the rights of people incarcerated in prisons and jails, particularly about solitary confinement.","Imagine living with no significant human contact for years, even decades, in a cell the size of a small bathroom. This is the reality for those in long-term solitary confinement, a form of imprisonment regularly imposed in US prisons. In this eye-opening talk, civil rights lawyer Laura Rovner takes us to ADX, the US federal government's only supermax prison, and describes the dehumanizing effects of long-term solitude on the mind, personality and sense of self. What emerges is an urgent case for abolishing solitary confinement -- and evidence for how our tax dollars, public safety and values are implicated in it. ""Prisons are administered in our name and on our behalf,"" she says. ""We have an obligation to bear witness.""","1,964,886","TEDx,law,justice system"
Lucas Husted,Game theory challenge: Can you predict human behavior?,Nov 2019,4:40,https://www.ted.com/talks/lucas_husted_game_theory_challenge_can_you_predict_human_behavior?language=en,,"Given a range of integers from 0 to 100, what would the whole number closest to 2/3 of the average of all numbers guessed be? For example, if the average of all guesses is 60, the correct guess will be 40. The game is played under conditions known to game theorists as ""common knowledge:"" every player has the same information— they also know that everyone else does too. Lucas Husted explains. [Directed by Anton Trofimov, narrated by Addison Anderson].","738,488","TED-Ed,economics,animation"
Tashka and Laura Yawanawá,The Amazon belongs to humanity — let's protect it together,Nov 2019,5:52,https://www.ted.com/talks/tashka_and_laura_yawanawa_the_amazon_belongs_to_humanity_let_s_protect_it_together?language=en,Chief Tashka Yawanawá and Laura Yawanawá represent the critical perspective often missed in the discussions about the future of indigenous people in Brazil: that of the indigenous people themselves.,"Tashka and Laura Yawanawá lead the Yawanawá people in Acre, Brazil -- a tribe that stewards almost 500,000 acres of Amazon rainforest. As footage of the Amazon burning shocks the world's consciousness, Tashka and Laura call for us to transform this moment into an opportunity to support indigenous people who have the experience, knowledge and tools needed to protect the land.","175,779","community,conservation,indigenous peoples"
Bhakti Sharma,What open water swimming taught me about resilience,Nov 2019,10:56,https://www.ted.com/talks/bhakti_sharma_what_open_water_swimming_taught_me_about_resilience?language=en,Bhakti Sharma is a record-breaking Indian open water swimmer. ,"Dive into the deep with open water swimmer Bhakti Sharma, as she shares what she learned about resilience during her personal journey from the scorching heat of Rajasthan, India to the bone-chilling waters of her record-breaking swim in Antarctica and her courageous crossing of the English Channel. ""In the middle of the ocean, there is nowhere to hide,"" Sharma says.","275,672","india,self,fear"
Bill Keegan,The Taino myth of the cursed creator,Nov 2019,3:24,https://www.ted.com/talks/bill_keegan_the_taino_myth_of_the_cursed_creator?language=en,,"Before the world of humans began, there was the world of the gods. Four brothers wandered this celestial realm. One day, the brothers snuck into a spirit's house and spotted a giant gourd hanging in the corner. But as they tried to look inside the gourd, they dropped it. It broke apart, releasing a deluge that formed a new world. Bill Keegan details the Taino myth of Deminan and the sea. [Directed by Franz Palomares, narrated by Adrian Dannatt, music by Carlos Palomares]. ","623,219","TED-Ed,education,culture"
Bob Langert,The business case for working with your toughest critics,Nov 2019,15:00,https://www.ted.com/talks/bob_langert_the_business_case_for_working_with_your_toughest_critics?language=en,"Bob Langert consults, writes and speaks about corporate sustainability, showing how companies can successfully navigate and manage today’s controversial societal issues, become better corporate citizens and make their businesses stronger, more relevant and more profitable.","As a ""corporate suit"" (his words) and former VP of sustainability at McDonald's, Bob Langert works with companies and their strongest critics to find solutions that are good for both business and society. In this actionable talk, he shares stories from the decades-long transition into corporate sustainability at McDonald's -- including his work with unlikely partners like the Environmental Defense Fund and Temple Grandin -- and shows why your adversaries can sometimes be your best allies.","1,429,322","business,sustainability,collaboration"
Sara-Jane Dunn,The next software revolution: programming biological cells,Nov 2019,14:47,https://www.ted.com/talks/sara_jane_dunn_the_next_software_revolution_programming_biological_cells?language=en,"Sara-Jane Dunn is a scientist working at the interface between biology and computation, using mathematics and computational analysis to make sense of how living systems process information.","The cells in your body are like computer software: they're ""programmed"" to carry out specific functions at specific times. If we can better understand this process, we could unlock the ability to reprogram cells ourselves, says computational biologist Sara-Jane Dunn. In a talk from the cutting-edge of science, she explains how her team is studying embryonic stem cells to gain a new understanding of the biological programs that power life -- and develop ""living software"" that could transform medicine, agriculture and energy.","2,148,881","biology,science,synthetic biology"
Lori Gottlieb,How changing your story can change your life,Nov 2019,16:25,https://www.ted.com/talks/lori_gottlieb_how_changing_your_story_can_change_your_life?language=en,Lori Gottlieb asks: What if the stories we tell ourselves are wrong?,"Stories help you make sense of your life -- but when these narratives are incomplete or misleading, they can keep you stuck instead of providing clarity. In an actionable talk, psychotherapist and advice columnist Lori Gottlieb shows how to break free from the stories you've been telling yourself by becoming your own editor and rewriting your narrative from a different point of view.","3,386,234","psychology,self,writing"
Chip Berlet,Are the Illuminati real?,Oct 2019,4:34,https://www.ted.com/talks/chip_berlet_are_the_illuminati_real?language=en,,"The year was 1776. In Bavaria, new ideals of rationalism, religious freedom and universal human rights competed with the Catholic church's heavy influence over public affairs. Adam Weishaupt, a law professor frustrated with the Church's ideology, decided to spread his ideas through a secret society: the Illuminati. Chip Berlet dives into the history, ideals and rituals of the infamous group. [Directed by Brett Underhill, narrated by Addison Anderson, music by Stephen LaRosa]","1,475,332","animation,history,education"
Daniel Streicker,What vaccinating vampire bats can teach us about pandemics,Oct 2019,15:39,https://www.ted.com/talks/daniel_streicker_what_vaccinating_vampire_bats_can_teach_us_about_pandemics?language=en,Daniel Streicker investigates how everyday killer pathogens can provide insight into future outbreaks of infectious disease.,"Could we anticipate the next big disease outbreak, stopping a virus like Ebola before it ever strikes? In this talk about frontline scientific research, ecologist Daniel Streicker takes us to the Amazon rainforest in Peru where he tracks the movement of vampire bats in order to forecast and prevent rabies outbreaks. By studying these disease patterns, Streicker shows how we could learn to cut off the next pandemic at its source.","1,913,286","disease,science,ebola"
Jess Kutch,What productive conflict can offer a workplace,Oct 2019,6:17,https://www.ted.com/talks/jess_kutch_what_productive_conflict_can_offer_a_workplace?language=en,"TED Fellow Jess Kutch is the cofounder of Coworker.org, a nonprofit that helps people join together to improve their jobs and workplaces.","Got an idea to make your workplace better? Labor organizer and TED Fellow Jess Kutch can show you how to put it into action. In this quick talk, she explains how ""productive conflict"" -- when people organize to challenge and change their work lives for the better -- can be beneficial for employees and employers alike.
","1,739,664","work,policy,social change"
Jacob Soboroff,Why do Americans vote on Tuesdays?,Oct 2019,3:21,https://www.ted.com/talks/jacob_soboroff_why_do_americans_vote_on_tuesdays?language=en,,"Since 1845, Americans have been voting on Tuesdays -- but why? In this humorous talk, Jacob Soboroff shares the history of Election Day and shows how voting on a Tuesday affects voter turnout. [Directed by TED-Ed].","16,757","animation,TED-Ed,education"
Toby Kiers,Lessons from fungi on markets and economics,Oct 2019,16:09,https://www.ted.com/talks/toby_kiers_lessons_from_fungi_on_markets_and_economics?language=en,Toby Kiers investigates cooperation and punishment in nature.,"Resource inequality is one of our greatest challenges, but it's not unique to humans. Like us, mycorrhizal fungi that live in plant and tree roots strategically trade, steal and withhold resources, displaying remarkable parallels to humans in their capacity to be opportunistic (and sometimes ruthless) -- all in the absence of cognition. In a mind-blowing talk, evolutionary biologist Toby Kiers shares what fungi networks and relationships reveal about human economies, and what they can tell us about inequality.","1,647,862","biology,evolution,plants"
Hans Block and Moritz Riesewieck,"The price of a ""clean"" internet",Oct 2019,15:37,https://www.ted.com/talks/hans_block_and_moritz_riesewieck_the_price_of_a_clean_internet?language=en,"Under the label Laokoon, Hans Block develops films, theatre productions, essays, lecture performances and radio plays that deal with the question of how our idea of humans and society change or can be transformed in the digital era.","Millions of images and videos are uploaded to the internet each day, yet we rarely see shocking and disturbing content in our social media feeds. Who's keeping the internet ""clean"" for us? In this eye-opening talk, documentarians Hans Block and Moritz Riesewieck take us inside the shadowy world of online content moderators -- the people contracted by major platforms like Facebook, Twitter and Google to rid the internet of toxic material. Learn more about the psychological impact of this kind of work -- and how ""digital cleaning"" influences what all of us see and think.","1,754,971","TEDx,social media,web"
Leila Pirhaji,The medical potential of AI and metabolites,Oct 2019,5:14,https://www.ted.com/talks/leila_pirhaji_the_medical_potential_of_ai_and_metabolites?language=en,Leila Pirhaji uses artificial intelligence for drug discovery and the treatment of metabolic diseases.,"Many diseases are driven by metabolites -- small molecules in your body like fat, glucose and cholesterol -- but we don't know exactly what they are or how they work. Biotech entrepreneur and TED Fellow Leila Pirhaji shares her plan to build an AI-based network to characterize metabolite patterns, better understand how disease develops -- and discover more effective treatments.","1,650,261","medicine,AI,technology"
Matthew Borths,Claws vs. nails,Oct 2019,4:54,https://www.ted.com/talks/matthew_borths_claws_vs_nails?language=en,,"Consider the claw. Frequently found on animals around the world, it's one of nature's most versatile tools. Bears use claws for digging as well as defense. An eagle's needle-like talons can pierce the skulls of their prey. Even the ancestors of primates used to wield these impressive appendages, until their claws evolved into nails. So what caused this adaptation? Matthew Borths investigates. [Directed by Augenblick Studios, narrated by Addison Anderson, music by GDM Production Music].","602,202","animation,TED-Ed,education"
Michael S.A. Graziano,How close are we to uploading our minds?,Oct 2019,4:46,https://www.ted.com/talks/michael_s_a_graziano_how_close_are_we_to_uploading_our_minds?language=en,,"Imagine a future where nobody dies— instead, our minds are uploaded to a digital world. There they could live on in a realistic, simulated environment with avatar bodies, calling in and contributing to the biological world. Mind-uploading has powerful appeal— but what would it actually take to scan a person's brain and upload their mind? Michael S. A. Graziano explores the challenges. [Directed by Lobster Studio, narrated by Addison Anderson, music by Fabrizio Martini].","314,247","animation,TED-Ed,science"
Alisa Kazarina,Humanity at the intersection of science and archaeology,Oct 2019,14:25,https://www.ted.com/talks/alisa_kazarina_humanity_at_the_intersection_of_science_and_archaeology?language=en,"Alisa Kazarina is a microbiologist whose desire is to explore how microbes influence human health and how investigating ancient human-related microorganisms could help researchers to study these relationships. 
In her job at the Latvian Biomedical Research and Study Center, Alisa investigates the remains of ancient human-related microbes that can be found within archaeological material with the help of a new multi-disciplinary area of research – biomolecular archaeology. 
In parallel, Alisa Kazarina is working towards her PhD thesis investigating the evolution of human-related microbial communities (i.e. human microbiome) and to detect and study ancient human pathogens like Mycobacterium tuberculosis.","Today, we relate the human microbiome to what it can tell us about our own current health. In this fascinating talk, microbiologist Alisa Kazarina describes how cutting edge research at the crossroads of archaeology and microbiology can trace humanity's physical development while providing insight on how to treat contemporary diseases. ","11,028","science,archaeology,human body"
Alyssa Loorya,What I learned from digging under New York City's streets,Oct 2019,5:42,https://www.ted.com/talks/alyssa_loorya_what_i_learned_from_digging_under_new_york_city_s_streets?language=en,"Alyssa Loorya is an archaeologist digging beneath the grid of New York, uncovering the most unlikely of artifacts.","When most people think of archaeology, they picture ancient civilizations and long-lost cities. In this short but fascinating talk, urban archaeologist Alyssa Loorya discusses her findings unearthed from the tunnels of New York City. She shares what they reveal about the city's original economic and racial makeup — and the importance of incorporating these lessons into current discourse and policy.","23,163","archaeology,history,Social Science"
Rose M. Mutiso,"How to bring affordable, sustainable electricity to Africa",Oct 2019,13:00,https://www.ted.com/talks/rose_m_mutiso_how_to_bring_affordable_sustainable_electricity_to_africa?language=en,"As the Research Director of the Energy for Growth Hub, Rose M. Mutiso works with a global network of experts finding solutions for energy deficits across Africa and Asia. She is also cofounder of the Mawazo Institute, helping African women to become scholars and thought leaders.","Energy poverty, or the lack of access to electricity and other basic energy services, affects nearly two-thirds of Sub-Saharan Africa. As the region's population continues to increase, so will the need to build a new energy system to grow with it, says Rose M. Mutiso. In a bold talk, she discusses how a balanced mix of solutions like solar, wind farms, geothermal power and modern grids could create a high-energy future for Africa -- providing reliable electricity, creating jobs and raising incomes.","1,715,799","Africa,energy,global issues"
Beau Lotto and Cirque du Soleil,How we experience awe — and why it matters,Oct 2019,14:48,https://www.ted.com/talks/beau_lotto_and_cirque_du_soleil_how_we_experience_awe_and_why_it_matters?language=en,Beau Lotto seeks to pull aside the curtain of why we see what we do in order to create the possibility and agency in deciding what to perceive next.,"Neuroscientist Beau Lotto conducted an ambitious study with Cirque du Soleil on the emotion of awe and its psychological and behavioral benefits. In this talk and live performance, he shares some of their findings -- and stands back as Cirque du Soleil dancers create their own awe-inducing spectacle.","322,095","science,creativity,brain"
Claire Wardle,How you can help transform the internet into a place of trust,Oct 2019,12:11,https://www.ted.com/talks/claire_wardle_how_you_can_help_transform_the_internet_into_a_place_of_trust?language=en,Claire Wardle is an expert on user-generated content and verification working to help improve the quality of information online.,"How can we stop the spread of misleading, sometimes dangerous content while maintaining an internet with freedom of expression at its core? Misinformation expert Claire Wardle explores the new challenges of our polluted online environment and maps out a plan to transform the internet into a place of trust -- with the help everyday users. ""Together, let's rebuild our information commons,"" she says.","1,747,970","Internet,technology,social change"
Adrienne Mayor,"The Greek myth of Talos, the first robot",Oct 2019,3:43,https://www.ted.com/talks/adrienne_mayor_the_greek_myth_of_talos_the_first_robot?language=en,,"Hephaestus, god of technology, was hard at work on his most ingenious invention yet. He was creating a new defense system for King Minos, who wanted fewer intruders on his island kingdom of Crete. But mortal guards and ordinary weapons wouldn't suffice, so the visionary god devised an indomitable new defender. Adrienna Mayor dives into the myth of Talos: the first robot. [Directed by Cabong Studios, narrated by Alexandra Panzer, music by Matheus Wittmann].","1,474,230","animation,robot,education"
